fecha,departamento
01/01/2010,QUINDIO
01/01/2010,VALLE DEL CAUCA
01/01/2010,TOLIMA
01/01/2010,ANTIOQUIA
01/01/2010,VALLE DEL CAUCA
01/01/2010,CORDOBA
01/01/2010,BOGOTA D. C.
01/01/2010,VALLE DEL CAUCA
01/01/2010,ANTIOQUIA
01/01/2010,CUNDINAMARCA
01/01/2010,VALLE DEL CAUCA
01/01/2010,ANTIOQUIA
01/01/2010,QUINDIO
01/01/2010,QUINDIO
01/01/2010,NARINO
01/01/2010,ANTIOQUIA
01/01/2010,VALLE DEL CAUCA
01/01/2010,VALLE DEL CAUCA
01/01/2010,VALLE DEL CAUCA
01/01/2010,ANTIOQUIA
01/01/2010,ATLANTICO
01/01/2010,ANTIOQUIA
01/01/2010,CUNDINAMARCA
01/01/2010,VALLE DEL CAUCA
01/01/2010,TOLIMA
01/01/2010,BOGOTA D. C.
01/01/2010,VALLE DEL CAUCA
01/01/2010,BOGOTA D. C.
01/01/2010,NORTE DE SANTANDER
01/01/2010,ATLANTICO
01/01/2010,ANTIOQUIA
01/01/2010,VALLE DEL CAUCA
01/01/2010,ANTIOQUIA
01/01/2010,VALLE DEL CAUCA
01/01/2010,ANTIOQUIA
01/01/2010,CAQUETA
01/01/2010,MAGDALENA
01/01/2010,CESAR
01/01/2010,BOGOTA D. C.
01/01/2010,VALLE DEL CAUCA
01/01/2010,ANTIOQUIA
01/01/2010,BOGOTA D. C.
01/01/2010,NARINO
01/01/2010,ANTIOQUIA
01/01/2010,VALLE DEL CAUCA
01/01/2010,META
01/01/2010,ANTIOQUIA
01/01/2010,VALLE DEL CAUCA
01/01/2010,ANTIOQUIA
01/01/2010,VALLE DEL CAUCA
01/01/2010,ANTIOQUIA
01/01/2010,ANTIOQUIA
01/01/2010,SANTANDER
01/01/2010,TOLIMA
01/01/2010,VALLE DEL CAUCA
01/01/2010,ANTIOQUIA
01/01/2010,QUINDIO
01/01/2010,CUNDINAMARCA
01/01/2010,TOLIMA
01/01/2010,BOGOTA D. C.
01/01/2010,VALLE DEL CAUCA
01/01/2010,ANTIOQUIA
01/01/2010,SANTANDER
01/01/2010,BOLIVAR
01/01/2010,ANTIOQUIA
01/01/2010,BOGOTA D. C.
01/01/2010,CUNDINAMARCA
01/01/2010,CUNDINAMARCA
01/01/2010,VALLE DEL CAUCA
01/01/2010,SANTANDER
01/01/2010,SANTANDER
01/01/2010,RISARALDA
01/01/2010,BOGOTA D. C.
01/01/2010,BOYACA
01/01/2010,BOGOTA D. C.
01/01/2010,ANTIOQUIA
01/01/2010,TOLIMA
01/01/2010,AMAZONAS
01/01/2010,ANTIOQUIA
01/01/2010,SANTANDER
01/01/2010,VALLE DEL CAUCA
01/01/2010,BOGOTA D. C.
01/01/2010,NARINO
01/01/2010,VALLE DEL CAUCA
01/01/2010,VALLE DEL CAUCA
01/01/2010,ANTIOQUIA
01/01/2010,RISARALDA
01/01/2010,BOGOTA D. C.
01/01/2010,ANTIOQUIA
01/01/2010,ANTIOQUIA
01/01/2010,ANTIOQUIA
01/01/2010,VALLE DEL CAUCA
01/01/2010,BOGOTA D. C.
01/01/2010,BOGOTA D. C.
01/01/2010,ANTIOQUIA
01/01/2010,ANTIOQUIA
01/01/2010,ANTIOQUIA
01/01/2010,VALLE DEL CAUCA
01/01/2010,MAGDALENA
01/01/2010,QUINDIO
01/01/2010,QUINDIO
01/01/2010,META
01/01/2010,CUNDINAMARCA
01/01/2010,ANTIOQUIA
01/01/2010,ANTIOQUIA
01/01/2010,RISARALDA
01/01/2010,ATLANTICO
01/01/2010,VALLE DEL CAUCA
01/01/2010,VALLE DEL CAUCA
01/01/2010,SANTANDER
01/01/2010,ANTIOQUIA
01/01/2010,VALLE DEL CAUCA
01/01/2010,BOGOTA D. C.
01/01/2010,VALLE DEL CAUCA
01/01/2010,BOGOTA D. C.
01/01/2010,BOLIVAR
01/01/2010,ATLANTICO
01/01/2010,BOGOTA D. C.
01/01/2010,VALLE DEL CAUCA
01/01/2010,HUILA
01/01/2010,ANTIOQUIA
01/01/2010,VALLE DEL CAUCA
01/01/2010,SANTANDER
01/01/2010,ANTIOQUIA
01/01/2010,ANTIOQUIA
01/01/2010,ANTIOQUIA
01/01/2010,ANTIOQUIA
01/01/2010,VALLE DEL CAUCA
01/01/2010,ATLANTICO
01/01/2010,VALLE DEL CAUCA
01/01/2010,ANTIOQUIA
01/01/2010,BOGOTA D. C.
01/01/2010,SANTANDER
01/01/2010,QUINDIO
01/01/2010,META
01/01/2010,ANTIOQUIA
01/01/2010,TOLIMA
01/01/2010,ANTIOQUIA
01/01/2010,ANTIOQUIA
01/01/2010,CUNDINAMARCA
01/01/2010,ATLANTICO
01/01/2010,NORTE DE SANTANDER
01/01/2010,PUTUMAYO
01/01/2010,ANTIOQUIA
01/01/2010,VALLE DEL CAUCA
01/01/2010,TOLIMA
01/01/2010,ANTIOQUIA
01/01/2010,BOGOTA D. C.
01/01/2010,VALLE DEL CAUCA
01/01/2010,QUINDIO
01/01/2010,VALLE DEL CAUCA
01/01/2010,VALLE DEL CAUCA
01/01/2010,VALLE DEL CAUCA
01/01/2010,CUNDINAMARCA
01/01/2010,MAGDALENA
01/01/2010,ATLANTICO
01/01/2010,VALLE DEL CAUCA
01/01/2010,ANTIOQUIA
01/01/2010,NORTE DE SANTANDER
01/01/2010,BOLIVAR
01/01/2010,HUILA
01/01/2010,ANTIOQUIA
01/01/2010,VALLE DEL CAUCA
01/01/2010,VALLE DEL CAUCA
01/01/2010,ANTIOQUIA
01/01/2010,VALLE DEL CAUCA
01/01/2010,ANTIOQUIA
01/01/2010,BOYACA
01/01/2010,ARAUCA
01/01/2010,HUILA
01/01/2010,SANTANDER
01/01/2010,ANTIOQUIA
01/01/2010,ANTIOQUIA
01/01/2010,ANTIOQUIA
01/01/2010,ANTIOQUIA
01/01/2010,ARAUCA
01/01/2010,VALLE DEL CAUCA
01/01/2010,ANTIOQUIA
01/01/2010,ANTIOQUIA
01/01/2010,SANTANDER
01/01/2010,SANTANDER
01/01/2010,ANTIOQUIA
01/01/2010,VALLE DEL CAUCA
01/01/2010,VALLE DEL CAUCA
01/01/2010,VALLE DEL CAUCA
01/01/2010,VALLE DEL CAUCA
01/01/2010,BOLIVAR
01/01/2010,ANTIOQUIA
01/01/2010,ANTIOQUIA
01/01/2010,ANTIOQUIA
01/01/2010,CUNDINAMARCA
01/01/2010,VALLE DEL CAUCA
01/01/2010,BOGOTA D. C.
01/01/2010,VALLE DEL CAUCA
01/01/2010,META
01/01/2010,VALLE DEL CAUCA
01/01/2010,ANTIOQUIA
01/01/2010,ANTIOQUIA
01/01/2010,VALLE DEL CAUCA
01/01/2010,ANTIOQUIA
01/01/2010,ANTIOQUIA
01/01/2010,QUINDIO
01/01/2010,VALLE DEL CAUCA
01/01/2010,VALLE DEL CAUCA
01/01/2010,ANTIOQUIA
01/01/2010,VALLE DEL CAUCA
01/01/2010,NORTE DE SANTANDER
01/01/2010,META
01/01/2010,VALLE DEL CAUCA
01/01/2010,CORDOBA
01/01/2010,ANTIOQUIA
01/01/2010,TOLIMA
01/01/2010,ANTIOQUIA
01/01/2010,ANTIOQUIA
